config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,0,S_AIR_M,1.0,0.0,2.0,930497.6599037049,1761369.908045209,0.5282806613497689,0.7447830439134239
A0,1,S_AIR_M,1.0,0.0,2.0,1095613.310284935,1734051.4303988118,0.6318228462422,0.782908618504863
D,0,S_AIR_M,0.6666666666666666,0.3333333333333333,14.4,86176.79232050109,2955699.4303208324,0.02709745756785812,0.8416230647011068
D,1,S_AIR_M,0.7666666666666667,0.23333333333333334,9.766666666666667,283570.8232503198,2955337.926947443,0.09445093701558896,0.8961378140040405
