bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
0.0,S1,0,0.1697290688753128,-1934.911385178566,95939.35618177056,0.010186757215619692,2,True,1.0,D_BONUS0/S1_seed0.zip
0.0,S1,1,0.20086117088794708,-2289.8173481225967,113536.77684441209,0.010186757215619692,2,True,1.0,D_BONUS0/S1_seed1.zip
0.0,S2,0,0.16522306203842163,-2009.112434387207,93392.33581721783,0.010873258579680595,2,True,1.0,D_BONUS0/S2_seed0.zip
0.0,S2,1,0.20174452662467957,-2453.2134437561035,114036.09367460012,0.010873258579680595,2,True,1.0,D_BONUS0/S2_seed1.zip
0.0,S3,0,0.16281358897686007,-2474.7665524482727,66354.67818751931,0.01900237529691211,2,True,1.0,D_BONUS0/S3_seed0.zip
0.0,S3,1,0.003377878107130528,-51.34374722838402,1376.6542225610465,0.01900237529691211,20,False,0.0,D_BONUS0/S3_seed1.zip
1.0,S1,0,0.18479062616825104,-2106.613138318062,104452.9014416039,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed0.zip
1.0,S1,1,0.22564265131950378,-2572.326225042343,127544.50865834951,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed1.zip
1.0,S2,0,0.18551045656204224,-2255.8071517944336,104859.78557169437,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed0.zip
1.0,S2,1,0.22464819252490997,-2731.7220211029053,126982.39082470536,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed1.zip
1.0,S3,0,0.17927305400371554,-2724.950420856476,73062.73315921426,0.01900237529691211,2,True,1.0,D_BONUS1/S3_seed0.zip
1.0,S3,1,0.22101986408233645,-3359.5019340515137,90076.64560675621,0.01900237529691211,2,True,1.0,D_BONUS1/S3_seed1.zip
