config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
D_FW3,S1,0,0.8550552725791931,209856.54212026417,263715.8205977219,0.7957677383352145,2,True,1.0,D_FW3/S1_seed0.zip
D_FW3,S1,1,0.8658563494682312,214045.89869521547,265508.6404577644,0.8061730056173614,2,True,1.0,D_FW3/S1_seed1.zip
D_FW3,S1,2,0.8605229258537292,208696.58453775098,267904.03794633696,0.7789975326148476,4,True,1.0,D_FW3/S1_seed2.zip
D_FW3,S1,3,0.8633025884628296,200103.8130180993,278036.3256020389,0.719703846556055,2,True,1.0,D_FW3/S1_seed3.zip
D_FW3,S1,4,0.9084421992301941,208344.22646479664,294796.48557884636,0.706739179931888,4,True,1.0,D_FW3/S1_seed4.zip
D_FW3,S1,5,0.8472707867622375,216098.57825946427,253162.346988801,0.8535968355081791,2,True,1.0,D_FW3/S1_seed5.zip
D_FW3,S1,6,0.8835486173629761,221272.7891238555,268080.61260262877,0.825396461816671,2,True,1.0,D_FW3/S1_seed6.zip
D_FW3,S1,7,0.9132593274116516,212727.49704267117,293081.1814442721,0.7258313071974575,3,True,1.0,D_FW3/S1_seed7.zip
D_FW3,S1,8,0.8205885291099548,201744.31282586156,252738.64402168692,0.7982329477424528,2,True,1.0,D_FW3/S1_seed8.zip
D_FW3,S1,9,0.8800199627876277,203516.98779382312,283882.0685961045,0.7169068085218814,2,True,1.0,D_FW3/S1_seed9.zip
D_FW3,S1,10,0.8945512771606445,208938.76732312495,286508.457532298,0.729258637328608,5,True,1.0,D_FW3/S1_seed10.zip
D_FW3,S1,11,0.8502887487411499,194300.66360301725,276631.7598872686,0.7023801738534925,2,True,1.0,D_FW3/S1_seed11.zip
D_FW3,S1,12,0.8682263493537903,220331.10096862065,260536.0626209761,0.8456836982646617,2,True,1.0,D_FW3/S1_seed12.zip
D_FW3,S1,13,0.8378534317016602,213707.51037421744,250337.61277374704,0.8536771921979001,2,True,1.0,D_FW3/S1_seed13.zip
D_FW3,S1,14,0.9199721217155457,214826.94379640903,294699.61581574596,0.7289692020865217,5,True,1.0,D_FW3/S1_seed14.zip
D_FW3,S1,15,0.825331449508667,191325.22599057027,265784.59731980495,0.7198506908222319,2,True,1.0,D_FW3/S1_seed15.zip
D_FW3,S1,16,0.850668728351593,192837.36094474196,278305.5142527878,0.692898096045577,2,True,1.0,D_FW3/S1_seed16.zip
D_FW3,S1,17,0.8499341607093811,217877.23213170184,252858.8027771889,0.861655713539419,3,True,1.0,D_FW3/S1_seed17.zip
D_FW3,S1,18,0.884953498840332,205152.3724557665,284979.12287695135,0.7198856196365919,5,True,1.0,D_FW3/S1_seed18.zip
D_FW3,S1,19,0.8254299759864807,210254.0368097835,246910.35539032886,0.8515399707614649,3,True,1.0,D_FW3/S1_seed19.zip
D_FW3,S1,20,0.9108020067214966,219817.2343297697,284630.4570929312,0.7722899248902235,4,True,1.0,D_FW3/S1_seed20.zip
D_FW3,S1,21,0.8571466207504272,206106.47086901436,268624.1850336098,0.7672669936373256,2,True,1.0,D_FW3/S1_seed21.zip
D_FW3,S1,22,0.9230663776397704,209368.2341180864,301872.07913770044,0.6935660784400739,4,True,1.0,D_FW3/S1_seed22.zip
D_FW3,S1,23,0.8702398538589478,199637.25115003187,282345.09190974635,0.7070682539572792,3,True,1.0,D_FW3/S1_seed23.zip
D_FW3,S1,24,0.8660102486610413,212225.38628371718,267414.3899372005,0.7936199182607794,2,True,1.0,D_FW3/S1_seed24.zip
D_FW3,S1,25,0.8580735921859741,202317.14736632668,272926.9116658751,0.7412869113252172,2,True,1.0,D_FW3/S1_seed25.zip
D_FW3,S1,26,0.8256274461746216,200438.3792084951,256835.38185531905,0.7804157579869835,2,True,1.0,D_FW3/S1_seed26.zip
D_FW3,S1,27,0.8532963991165161,200931.11390346327,271667.0967472192,0.7396225612497559,2,True,1.0,D_FW3/S1_seed27.zip
D_FW3,S1,28,0.7990037202835083,204806.07944839814,237722.13103062293,0.8615356027664727,5,True,1.0,D_FW3/S1_seed28.zip
D_FW3,S1,29,0.8696593046188354,206062.0160514619,275598.7898116801,0.7476883922177832,3,True,1.0,D_FW3/S1_seed29.zip
D_FW3,S2,0,0.8571611046791077,209101.89647420967,264985.338912758,0.7891074175354771,2,True,1.0,D_FW3/S2_seed0.zip
D_FW3,S2,1,0.8501566052436829,212017.38924377246,258195.7275504561,0.8211498743810178,2,True,1.0,D_FW3/S2_seed1.zip
D_FW3,S2,2,0.8554145097732544,214424.8724420072,258696.33876848206,0.8288670549524281,2,True,1.0,D_FW3/S2_seed2.zip
