scenario_id,scale,mode,n_episodes,n_rounds_total,n_r1_blocked,n_r2_blocked,n_r3_blocked,n_r4_blocked,r1_binding_rate
S1,Edge,policy,100,1600,0,0,0,0,0.0000
S4,Mid,policy,100,1900,0,0,0,0,0.0000
S7,Hyperscale,policy,100,2000,0,0,0,0,0.0000
