config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,convergence_rate
PPO_curr,S_AIR_M,0,0.8897205730737633,1795498.0908354963,1420216.841095631,0.7530668784185874,18,0.6666666666666666
PPO_curr,S_AIR_M,1,0.8507703778343,1683658.2603466506,1391279.074410953,0.730861588068914,17,0.7
PPO_curr,S_AIR_M,2,0.9003429818925892,1813751.3001653263,1440356.1784659023,0.7271517415984565,17,0.7666666666666667
PPO_curr,S_AIR_M,3,0.8501552452653041,1649506.468847345,1423207.5937424551,0.6842641638275146,16,0.7333333333333333
PPO_curr,S_AIR_M,4,0.8626439916072938,1685678.1161249245,1432173.9923957374,0.7095907690241672,17,0.6666666666666666
PPO_nocurr,S_AIR_M,0,0.8563217310204011,1459051.156630449,1635950.420624432,0.618755713735672,17,0.6333333333333333
PPO_nocurr,S_AIR_M,1,0.9138418575245929,1677594.7006342711,1625301.7317964067,0.6892023600932455,16,0.7666666666666667
PPO_nocurr,S_AIR_M,2,0.9701345269002125,1685197.2384067932,1821157.6538457805,0.6983284433116695,13,0.8666666666666667
PPO_nocurr,S_AIR_M,3,0.8854975844331955,1393181.2976907822,1807270.4965319133,0.6069778255831049,12,0.7
PPO_nocurr,S_AIR_M,4,0.8106805954322462,1280590.6249312467,1649450.3055060918,0.5838973642030288,15,0.6333333333333333
