step,T_supply,Q_available,Exergy_DT,Q_negotiated,it_load_frac,scenario,t_availability
0,20.72376565252563,10760.67942674816,105.4592979257059,10222.645455410751,0.6060943415950887,Edge,0.9098173515981736
1,19.44888821975195,8363.909853133635,63.900103586987804,7945.714360476953,0.5800424984036264,Edge,0.9098173515981736
2,21.27903336050406,11804.582717747682,126.75130131358355,11214.353581860298,0.6174411164972574,Edge,0.9098173515981736
3,21.579260022625988,12369.008842536823,139.0662436702515,11750.558400409982,0.6235761830710524,Edge,0.9098173515981736
4,18.89930262941175,7330.688943294044,49.15018453343243,6964.154496129342,0.5688118363401526,Edge,0.9098173515981736
5,19.71988606091992,8873.385794529466,71.87693113627851,8429.716504802993,0.5855802803753203,Edge,0.9098173515981736
6,21.33972868387616,11918.689925687162,129.19558397277808,11322.755429402803,0.61868141223573,Edge,0.9098173515981736
7,21.159211109505407,11579.316885870205,121.9934591073958,11000.351041576694,0.6149925748464152,Edge,0.9098173515981736
8,21.739274095617134,12669.835299760205,145.85943491222156,12036.343534772193,0.6268460358669588,Edge,0.9098173515981736
9,21.239558952057564,11730.370829868167,125.17396212055294,11143.852288374757,0.6166344655420453,Edge,0.9098173515981736
10,23.28434898613949,15574.576093942283,219.62995907850583,14795.847289245168,0.6584193053689379,Edge,0.9098173515981736
11,23.563186967420847,16098.791498751183,234.51459681745467,15293.851923813623,0.6641172988994694,Edge,0.9098173515981736
12,23.272401008768327,15552.113896484443,219.00286209255577,14774.508201660221,0.6581751510487439,Edge,0.9098173515981736
13,24.742770805659234,18316.409114639362,302.76141983536013,17400.588658907393,0.6882218382026017,Edge,0.9098173515981736
14,24.552967376018955,17959.5786669156,291.2051252260662,17061.59973356982,0.6843432463795174,Edge,0.9098173515981736
15,23.73258333965032,16417.256678542544,243.79068425964914,15596.393844615417,0.6675788769406799,Edge,0.9098173515981736
16,25.43302971655436,19614.095867122196,346.63944923407513,18633.391073766084,0.7023271289904587,Edge,0.9098173515981736
17,24.650479496406717,18142.90145324463,297.1147355255406,17235.7563805824,0.6863358853613547,Edge,0.9098173515981736
18,26.98174144709003,22525.673920529225,455.59710337502264,21399.390224502764,0.7339747165274916,Edge,0.9098173515981736
19,26.620136954669647,21845.857474778924,428.86121620023715,20753.564601039976,0.7265854073345536,Edge,0.9098173515981736
20,27.046840435040167,22648.06001787554,460.49385926638223,21515.657016981764,0.7353050001942993,Edge,0.9098173515981736
21,27.129548369740064,22803.550935111285,466.7518881560289,21663.37338835572,0.7369951188599052,Edge,0.9098173515981736
22,29.567852917366963,27387.563484649916,669.6058873391828,26018.18531041742,0.7868213422244557,Edge,0.9098173515981736
23,28.800157439337568,25944.295985954668,601.9214571389593,24647.081186656935,0.7711336520212464,Edge,0.9098173515981736
24,29.11461335288243,26535.47310341893,629.2234468029468,25208.699448247982,0.7775594902545536,Edge,0.9098173515981736
25,29.771567628862613,27770.547142261697,688.1519753165003,26382.019785148612,0.7909842080680619,Edge,0.9098173515981736
26,31.217125608001197,30488.196143042267,826.7708124677525,28963.786335890152,0.8205238711200247,Edge,0.9098173515981736
27,31.62890588428661,31262.34306245882,868.4982428298721,29699.22590933588,0.8289385115484654,Edge,0.9098173515981736
28,32.24307565902063,32416.982238958808,932.5707215425598,30796.133127010868,0.841488937379987,Edge,0.9098173515981736
29,32.81911987826476,33499.94537113773,994.6566920423178,31824.94810258084,0.8532602757732362,Edge,0.9098173515981736
30,35.040041595337186,37675.2781992339,1251.9330917105915,35791.51428927221,0.8986443282525424,Edge,0.9098173515981736
31,33.07859591861421,33987.76032699474,1023.2505514387962,32288.372310645005,0.8585626122499428,Edge,0.9098173515981736
32,33.49114211744603,34763.34718079853,1069.5128767502429,33025.179821758604,0.8669929041391145,Edge,0.9098173515981736
33,33.693751042097745,35144.25195914373,1092.592280600713,33387.039361186544,0.8711331734689536,Edge,0.9098173515981736
34,35.570367700600684,38672.29127712929,1317.5430021129598,36738.67671327283,0.9094814269253183,Edge,0.9098173515981736
35,36.52733945857028,40471.3981821121,1439.9770860814886,38447.82827300649,0.929036936762088,Edge,0.9098173515981736
36,35.741510393623514,38994.03954001222,1339.0575552033738,37044.337563011606,0.9129786906523067,Edge,0.9098173515981736
37,35.4353968055342,38418.545994404296,1300.6930572718165,36497.61869468408,0.9067233260261337,Edge,0.9098173515981736
38,35.827738999419694,39156.149318909054,1349.9604685479587,37198.3418529636,0.9147407534664027,Edge,0.9098173515981736
39,37.61926092442292,42524.21053791506,1585.9939116521718,40398.00001101931,0.951350114542555,Edge,0.9098173515981736
40,38.02721563193046,43291.165388029214,1642.2663206375537,41126.607118627755,0.9596865803046654,Edge,0.9098173515981736
41,38.11680130240495,43459.58644852125,1654.7483632448188,41286.60712609519,0.9615172440056657,Edge,0.9098173515981736
42,37.1863119153723,41710.26640089994,1527.2950968136315,39624.75308085494,0.9425028956619559,Edge,0.9098173515981736
43,38.28337986654009,43772.75414909537,1678.0771816691224,41584.1164416406,0.9649212407510367,Edge,0.9098173515981736
44,38.35404840635306,43905.61100394375,1688.0209338972354,41710.33045374656,0.9663653369993885,Edge,0.9098173515981736
45,38.60206043318033,44371.87361437897,1723.1392232967037,42153.27993366002,0.9714334088519453,Edge,0.9098173515981736
46,39.353037670343156,45783.710820245135,1831.5659859242628,43494.525279232876,0.9867794654374471,Edge,0.9098173515981736
47,38.794666179427,44733.97241732279,1750.6486232908912,42497.27379645665,0.9753692654056825,Edge,0.9098173515981736
48,39.27929050850696,45645.066155993045,1820.7795044535064,43362.81284819339,0.9852724582173157,Edge,0.9098173515981736
49,38.683192620749196,44524.40212700849,1734.7019359269227,42298.18202065807,0.9730913274674836,Edge,0.9098173515981736
50,38.86556109063173,44867.25485038766,1760.8263904106552,42623.892107868276,0.9768179875042138,Edge,0.9098173515981736
51,39.12953719499234,45363.5299265856,1798.9690488470335,43095.35343025632,0.9822122818107131,Edge,0.9098173515981736
52,36.97855041743384,41319.67478477565,1499.5012253156626,39253.69104553686,0.9382573346171267,Edge,0.9098173515981736
53,37.94933348060715,43144.74694354141,1631.451427554166,40987.50959636434,0.9580950754732762,Edge,0.9098173515981736
54,37.62451152671122,42534.081670217085,1586.7122428613332,40407.37758670623,0.9514574094588814,Edge,0.9098173515981736
55,37.24828097895198,41826.76824042971,1535.632209277769,39735.42982840822,0.9437692200046708,Edge,0.9098173515981736
56,37.35997194610229,42036.74725867236,1550.7132705641377,39934.90989573874,0.9460516006377431,Edge,0.9098173515981736
57,38.81622306323209,44774.4993588763,1753.7403974784168,42535.774390932485,0.9758097756399599,Edge,0.9098173515981736
58,36.19890871559994,39853.94838532785,1397.3732812147464,37861.25096606146,0.9223255259274766,Edge,0.9098173515981736
59,37.6580194986459,42597.07665745425,1591.3000875780988,40467.222824581535,0.9521421375810245,Edge,0.9098173515981736
60,34.69962039856432,37035.28634930089,1210.6624146318575,35183.52203183585,0.8916878951010967,Edge,0.9098173515981736
61,35.62922166840525,38782.936736601914,1324.9228331063323,36843.789899771815,0.9106840949630644,Edge,0.9098173515981736
62,35.702273993210554,38920.27510723582,1334.1104014753173,36974.26135187403,0.9121769033395198,Edge,0.9098173515981736
63,35.68029410276961,38878.95291320684,1331.3428694585646,36935.0052675465,0.911727749056596,Edge,0.9098173515981736
64,35.34570700739977,38249.929173911514,1289.553372007597,36337.43271521594,0.9048905344990382,Edge,0.9098173515981736
65,34.95069242276543,37507.30175479899,1241.03689127112,35631.93666705904,0.8968184973347716,Edge,0.9098173515981736
66,33.34118994179141,34481.43709056791,1052.583910835304,32757.365236039514,0.8639286640279121,Edge,0.9098173515981736
67,32.72409382027149,33321.29638211039,984.2823795649666,31655.23156300487,0.8513184389359825,Edge,0.9098173515981736
68,33.49852930920309,34777.23510130186,1070.3502081524703,33038.37334623677,0.8671438597967593,Edge,0.9098173515981736
69,31.944155769494785,31855.012846650163,901.1121284778064,30262.262204317653,0.8353805744201105,Edge,0.9098173515981736
70,30.348144379383598,28854.51143324116,741.9697027199968,27411.7858615791,0.8027664286221866,Edge,0.9098173515981736
71,29.947895546395273,28102.04362722313,704.402531606139,26696.941445861972,0.7945874307306863,Edge,0.9098173515981736
72,29.61503238420596,27476.260882307222,673.8792737638514,26102.44783819186,0.7877854443729045,Edge,0.9098173515981736
73,30.459222933935052,29063.339115797862,752.5625542350303,27610.17216000797,0.8050362947369333,Edge,0.9098173515981736
74,29.572017216871757,27395.392367718872,669.9825489859427,26025.622749332928,0.7869064387795529,Edge,0.9098173515981736
75,29.573047867722664,27397.329991318635,670.0757873450701,26027.4634917527,0.7869274999056373,Edge,0.9098173515981736
76,27.95073967897315,24347.39059646956,531.111806674135,23130.02106664608,0.7537759847442344,Edge,0.9098173515981736
77,28.00506829237264,24449.528389660583,535.5120373846484,23227.051970177552,0.7548861781484846,Edge,0.9098173515981736
78,27.954828362979356,24355.07732240118,531.4423476127542,23137.32345628112,0.7538595361130563,Edge,0.9098173515981736
79,26.54632141401453,21707.084258347313,423.50030178682675,20621.730045429947,0.7250770028081229,Edge,0.9098173515981736
