scenario,feature,n_samples_tested,shapiro_p,anderson_stat,anderson_critical_5pct,normality_pass,acf_real_lag1,acf_synth_lag1,acf_preservation_lag1_pct,acf_real_lag96,acf_synth_lag96,acf_preservation_lag96_pct,acf_real_lag672,acf_synth_lag672,acf_preservation_lag672_pct,block_bootstrap_valid,validity_basis
Edge_LC,T_supply,5000,0.0,7.0865,0.752,False,0.9662,0.9483,98.2,0.9412,-0.0181,-1.9,0.9496,-0.0115,-1.2,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Edge_LC,Q_available,5000,0.0,5.8898,0.752,False,0.9662,0.9483,98.1,0.9412,-0.0028,-0.3,0.9496,-0.0333,-3.5,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Edge_LC,Exergy_DT,5000,0.0,4.9736,0.752,False,0.9662,0.9477,98.1,0.9411,0.0181,1.9,0.9496,0.0225,2.4,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Mid_LC,T_supply,5000,0.0,6.593,0.752,False,0.9662,0.9474,98.1,0.9412,-0.0942,-10.0,0.9496,-0.0562,-5.9,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Mid_LC,Q_available,5000,0.0,8.5628,0.752,False,0.9662,0.9486,98.2,0.9412,-0.0503,-5.3,0.9496,0.0255,2.7,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Mid_LC,Exergy_DT,5000,0.0,6.126,0.752,False,0.9662,0.9496,98.3,0.9411,-0.0123,-1.3,0.9496,-0.0086,-0.9,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Hyperscale_LC,T_supply,5000,0.0,4.6828,0.752,False,0.9662,0.9488,98.2,0.9412,0.0237,2.5,0.9496,0.0141,1.5,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Hyperscale_LC,Q_available,5000,0.0,9.2279,0.752,False,0.9662,0.9506,98.4,0.9412,0.0159,1.7,0.9496,0.0412,4.3,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
Hyperscale_LC,Exergy_DT,5000,0.0,7.6007,0.752,False,0.9662,0.9477,98.1,0.9411,-0.0275,-2.9,0.9496,-0.0016,-0.2,True,lag-1 preservation >= 80% (within-block local correlation); lag 96 and 672 reported for traceability (expected near 0 by design)
