step,T_supply,Q_available,Exergy_DT,Q_negotiated,it_load_frac,scenario,t_availability,TWH,ERF
0,45.87313209914106,311644.8122576671,15586.647864928853,280480.3310319004,0.6560943415950886,Edge_LC,1.0,45.87313209914106,0.8100000000000002
1,45.55874567678666,299200.3497061377,14821.718546454267,269280.31473552395,0.6298954730655532,Edge_LC,1.0,45.55874567678666,0.8099999999999999
2,46.00448299240753,316844.1184494645,15909.688967436585,285159.70660451805,0.6670402493672937,Edge_LC,1.0,46.00448299240753,0.81
3,46.0737842302205,319587.29244622786,16080.945934738076,287628.5632016051,0.6728153525183744,Edge_LC,1.0,46.0737842302205,0.81
4,45.411032840655366,293353.38327594264,14466.351137229298,264018.0449483484,0.6175860700546161,Edge_LC,1.0,45.411032840655366,0.8100000000000002
5,45.60543445973428,301048.4473644816,14934.57864281504,270943.60262803343,0.633786204977856,Edge_LC,1.0,45.60543445973428,0.81
6,45.99461235291369,316453.4056361667,15885.34270786836,284808.06507255003,0.6662176960761403,Edge_LC,1.0,45.99461235291369,0.8099999999999999
7,45.94112434510919,314336.1719939047,15753.612425983663,282902.5547945142,0.6617603620924309,Edge_LC,1.0,45.94112434510919,0.8099999999999999
8,46.07299244030844,319555.9507622101,16078.98607181341,287600.35568598914,0.6727493700257056,Edge_LC,1.0,46.07299244030844,0.8100000000000002
9,45.93896840720379,314250.8327851503,15748.30985018794,282825.7495066353,0.6615807006003165,Edge_LC,1.0,45.93896840720379,0.81
10,46.42783403350029,333601.7638260524,16964.692939331126,300241.5874434472,0.7023195027916893,Edge_LC,1.0,46.42783403350029,0.81
11,46.482639305438,335771.1391735883,17102.81018911391,302194.0252562295,0.7068866087865017,Edge_LC,1.0,46.482639305438,0.81
12,46.39679810980852,332373.2585132529,16886.634419040518,299135.9326619276,0.6997331758173745,Edge_LC,1.0,46.39679810980852,0.8099999999999999
13,46.74191572686743,346034.1641885026,17761.00521294594,311430.74776965234,0.7284929772389528,Edge_LC,1.0,46.74191572686743,0.81
14,46.67908424219041,343547.0845867041,17600.777957469018,309192.3761280337,0.7232570201825349,Edge_LC,1.0,46.67908424219041,0.81
15,46.46084275244976,334908.3589511371,17047.837444844485,301417.5230560234,0.705070229370815,Edge_LC,1.0,46.46084275244976,0.81
16,46.860040475944345,350709.9355061311,18063.489683786825,315638.941955518,0.7383367063286971,Edge_LC,1.0,46.860040475944345,0.81
17,46.64972349180295,342384.88821719936,17526.063560153038,308146.3993954794,0.7208102909835776,Edge_LC,1.0,46.64972349180295,0.8099999999999999
18,47.20240088124285,364261.7015491965,18949.41225753932,327835.5313942768,0.7668667401035715,Edge_LC,1.0,47.20240088124285,0.8099999999999999
19,47.09425073084799,359980.75809606654,18668.070779995425,323982.6822864599,0.7578542275706663,Edge_LC,1.0,47.09425073084799,0.81
20,47.17899632300282,363335.2711188608,18888.41170661655,327001.74400697474,0.7649163602502332,Edge_LC,1.0,47.17899632300282,0.81
21,47.17905768428176,363337.7000028199,18888.571552006742,327003.9300025379,0.7649214736901471,Edge_LC,1.0,47.17905768428176,0.81
22,47.756503726544736,386194.9391757286,20412.289972646453,347575.44525815576,0.8130419772120602,Edge_LC,1.0,47.756503726544736,0.81
23,47.54761726875705,377926.5168882997,19856.60379054418,340133.8651994698,0.7956347723964204,Edge_LC,1.0,47.54761726875705,0.8100000000000002
24,47.60401137097989,380158.7834346205,20006.123642090188,342142.90509115846,0.8003342809149905,Edge_LC,1.0,47.60401137097989,0.8100000000000002
25,47.744394362537605,385715.6101837791,20379.937358700507,347144.0491654012,0.8120328635447981,Edge_LC,1.0,47.744394362537605,0.81
26,48.07824314672519,398930.457891206,21278.136763539307,359037.41210208536,0.8398535955604336,Edge_LC,1.0,48.07824314672519,0.8099999999999998
