dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Mid_LC,LowT_60C,-20,-10,0,0.32,0.36,0.2,0.4692
Mid_LC,MidT_90C,-20,-10,0,0.32,0.36,0.2,0.3949
Hyperscale_LC,HighT_130C,-20,-10,0,0.32,0.36,0.2,0.3255
Hyperscale_LC,LowT_60C,-20,-10,0,0.32,0.36,0.2,0.4693
Hyperscale_LC,MidT_90C,-20,-10,0,0.32,0.36,0.2,0.395
Edge_LC,HighT_130C,-20,-10,10,0.32,0.36,0.22,0.314
Edge_LC,LowT_60C,-20,-10,10,0.32,0.36,0.22,0.4642
Edge_LC,MidT_90C,-20,-10,10,0.32,0.36,0.22,0.3864
Mid_LC,HighT_130C,-20,-10,10,0.32,0.36,0.22,0.314
Mid_LC,LowT_60C,-20,-10,10,0.32,0.36,0.22,0.4642
Mid_LC,MidT_90C,-20,-10,10,0.32,0.36,0.22,0.3864
Hyperscale_LC,HighT_130C,-20,-10,10,0.32,0.36,0.22,0.314
Hyperscale_LC,LowT_60C,-20,-10,10,0.32,0.36,0.22,0.4643
Hyperscale_LC,MidT_90C,-20,-10,10,0.32,0.36,0.22,0.3866
Edge_LC,HighT_130C,-20,-10,20,0.32,0.36,0.24,0.3024
Edge_LC,LowT_60C,-20,-10,20,0.32,0.36,0.24,0.4592
Edge_LC,MidT_90C,-20,-10,20,0.32,0.36,0.24,0.378
Mid_LC,HighT_130C,-20,-10,20,0.32,0.36,0.24,0.3024
Mid_LC,LowT_60C,-20,-10,20,0.32,0.36,0.24,0.4592
Mid_LC,MidT_90C,-20,-10,20,0.32,0.36,0.24,0.378
Hyperscale_LC,HighT_130C,-20,-10,20,0.32,0.36,0.24,0.3025
Hyperscale_LC,LowT_60C,-20,-10,20,0.32,0.36,0.24,0.4593
Hyperscale_LC,MidT_90C,-20,-10,20,0.32,0.36,0.24,0.3781
Edge_LC,HighT_130C,-20,0,-20,0.32,0.4,0.16,0.3787
Edge_LC,LowT_60C,-20,0,-20,0.32,0.4,0.16,0.5094
Edge_LC,MidT_90C,-20,0,-20,0.32,0.4,0.16,0.4419
Mid_LC,HighT_130C,-20,0,-20,0.32,0.4,0.16,0.3787
Mid_LC,LowT_60C,-20,0,-20,0.32,0.4,0.16,0.5094
Mid_LC,MidT_90C,-20,0,-20,0.32,0.4,0.16,0.4419
Hyperscale_LC,HighT_130C,-20,0,-20,0.32,0.4,0.16,0.3789
Hyperscale_LC,LowT_60C,-20,0,-20,0.32,0.4,0.16,0.5096
Hyperscale_LC,MidT_90C,-20,0,-20,0.32,0.4,0.16,0.4423
Edge_LC,HighT_130C,-20,0,-10,0.32,0.4,0.18,0.3671
Edge_LC,LowT_60C,-20,0,-10,0.32,0.4,0.18,0.5044
Edge_LC,MidT_90C,-20,0,-10,0.32,0.4,0.18,0.4335
Mid_LC,HighT_130C,-20,0,-10,0.32,0.4,0.18,0.3671
Mid_LC,LowT_60C,-20,0,-10,0.32,0.4,0.18,0.5044
Mid_LC,MidT_90C,-20,0,-10,0.32,0.4,0.18,0.4335
Hyperscale_LC,HighT_130C,-20,0,-10,0.32,0.4,0.18,0.3674
Hyperscale_LC,LowT_60C,-20,0,-10,0.32,0.4,0.18,0.5046
Hyperscale_LC,MidT_90C,-20,0,-10,0.32,0.4,0.18,0.4338
Edge_LC,HighT_130C,-20,0,0,0.32,0.4,0.2,0.3556
Edge_LC,LowT_60C,-20,0,0,0.32,0.4,0.2,0.4994
Edge_LC,MidT_90C,-20,0,0,0.32,0.4,0.2,0.425
Mid_LC,HighT_130C,-20,0,0,0.32,0.4,0.2,0.3556
Mid_LC,LowT_60C,-20,0,0,0.32,0.4,0.2,0.4994
Mid_LC,MidT_90C,-20,0,0,0.32,0.4,0.2,0.425
Hyperscale_LC,HighT_130C,-20,0,0,0.32,0.4,0.2,0.3559
Hyperscale_LC,LowT_60C,-20,0,0,0.32,0.4,0.2,0.4996
Hyperscale_LC,MidT_90C,-20,0,0,0.32,0.4,0.2,0.4254
Edge_LC,HighT_130C,-20,0,10,0.32,0.4,0.22,0.3441
Edge_LC,LowT_60C,-20,0,10,0.32,0.4,0.22,0.4944
Edge_LC,MidT_90C,-20,0,10,0.32,0.4,0.22,0.4165
Mid_LC,HighT_130C,-20,0,10,0.32,0.4,0.22,0.3441
Mid_LC,LowT_60C,-20,0,10,0.32,0.4,0.22,0.4944
Mid_LC,MidT_90C,-20,0,10,0.32,0.4,0.22,0.4165
Hyperscale_LC,HighT_130C,-20,0,10,0.32,0.4,0.22,0.3443
Hyperscale_LC,LowT_60C,-20,0,10,0.32,0.4,0.22,0.4946
Hyperscale_LC,MidT_90C,-20,0,10,0.32,0.4,0.22,0.4169
Edge_LC,HighT_130C,-20,0,20,0.32,0.4,0.24,0.3325
Edge_LC,LowT_60C,-20,0,20,0.32,0.4,0.24,0.4894
Edge_LC,MidT_90C,-20,0,20,0.32,0.4,0.24,0.4081
Mid_LC,HighT_130C,-20,0,20,0.32,0.4,0.24,0.3325
Mid_LC,LowT_60C,-20,0,20,0.32,0.4,0.24,0.4894
Mid_LC,MidT_90C,-20,0,20,0.32,0.4,0.24,0.4081
Hyperscale_LC,HighT_130C,-20,0,20,0.32,0.4,0.24,0.3328
Hyperscale_LC,LowT_60C,-20,0,20,0.32,0.4,0.24,0.4896
Hyperscale_LC,MidT_90C,-20,0,20,0.32,0.4,0.24,0.4084
Edge_LC,HighT_130C,-20,10,-20,0.32,0.44,0.16,0.4088
Edge_LC,LowT_60C,-20,10,-20,0.32,0.44,0.16,0.5395
Edge_LC,MidT_90C,-20,10,-20,0.32,0.44,0.16,0.4721
Mid_LC,HighT_130C,-20,10,-20,0.32,0.44,0.16,0.4088
Mid_LC,LowT_60C,-20,10,-20,0.32,0.44,0.16,0.5395
Mid_LC,MidT_90C,-20,10,-20,0.32,0.44,0.16,0.4721
Hyperscale_LC,HighT_130C,-20,10,-20,0.32,0.44,0.16,0.4093
Hyperscale_LC,LowT_60C,-20,10,-20,0.32,0.44,0.16,0.5399
Hyperscale_LC,MidT_90C,-20,10,-20,0.32,0.44,0.16,0.4726
Edge_LC,HighT_130C,-20,10,-10,0.32,0.44,0.18,0.3973
Edge_LC,LowT_60C,-20,10,-10,0.32,0.44,0.18,0.5345
Edge_LC,MidT_90C,-20,10,-10,0.32,0.44,0.18,0.4636
Mid_LC,HighT_130C,-20,10,-10,0.32,0.44,0.18,0.3973
Mid_LC,LowT_60C,-20,10,-10,0.32,0.44,0.18,0.5345
Mid_LC,MidT_90C,-20,10,-10,0.32,0.44,0.18,0.4636
Hyperscale_LC,HighT_130C,-20,10,-10,0.32,0.44,0.18,0.3977
Hyperscale_LC,LowT_60C,-20,10,-10,0.32,0.44,0.18,0.5349
Hyperscale_LC,MidT_90C,-20,10,-10,0.32,0.44,0.18,0.4642
Edge_LC,HighT_130C,-20,10,0,0.32,0.44,0.2,0.3857
Edge_LC,LowT_60C,-20,10,0,0.32,0.44,0.2,0.5295
Edge_LC,MidT_90C,-20,10,0,0.32,0.44,0.2,0.4551
Mid_LC,HighT_130C,-20,10,0,0.32,0.44,0.2,0.3857
