dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Edge_LC,MidT_90C,-10,0,10,0.36,0.4,0.22,0.4426
Mid_LC,HighT_130C,-10,0,10,0.36,0.4,0.22,0.3653
Mid_LC,LowT_60C,-10,0,10,0.36,0.4,0.22,0.5254
Mid_LC,MidT_90C,-10,0,10,0.36,0.4,0.22,0.4426
Hyperscale_LC,HighT_130C,-10,0,10,0.36,0.4,0.22,0.3653
Hyperscale_LC,LowT_60C,-10,0,10,0.36,0.4,0.22,0.5254
Hyperscale_LC,MidT_90C,-10,0,10,0.36,0.4,0.22,0.4428
Edge_LC,HighT_130C,-10,0,20,0.36,0.4,0.24,0.3538
Edge_LC,LowT_60C,-10,0,20,0.36,0.4,0.24,0.5204
Edge_LC,MidT_90C,-10,0,20,0.36,0.4,0.24,0.4341
Mid_LC,HighT_130C,-10,0,20,0.36,0.4,0.24,0.3538
Mid_LC,LowT_60C,-10,0,20,0.36,0.4,0.24,0.5204
Mid_LC,MidT_90C,-10,0,20,0.36,0.4,0.24,0.4341
Hyperscale_LC,HighT_130C,-10,0,20,0.36,0.4,0.24,0.3538
Hyperscale_LC,LowT_60C,-10,0,20,0.36,0.4,0.24,0.5204
Hyperscale_LC,MidT_90C,-10,0,20,0.36,0.4,0.24,0.4343
Edge_LC,HighT_130C,-10,10,-20,0.36,0.44,0.16,0.43
Edge_LC,LowT_60C,-10,10,-20,0.36,0.44,0.16,0.5705
Edge_LC,MidT_90C,-10,10,-20,0.36,0.44,0.16,0.4981
Mid_LC,HighT_130C,-10,10,-20,0.36,0.44,0.16,0.43
Mid_LC,LowT_60C,-10,10,-20,0.36,0.44,0.16,0.5705
Mid_LC,MidT_90C,-10,10,-20,0.36,0.44,0.16,0.4981
Hyperscale_LC,HighT_130C,-10,10,-20,0.36,0.44,0.16,0.4302
Hyperscale_LC,LowT_60C,-10,10,-20,0.36,0.44,0.16,0.5707
Hyperscale_LC,MidT_90C,-10,10,-20,0.36,0.44,0.16,0.4985
Edge_LC,HighT_130C,-10,10,-10,0.36,0.44,0.18,0.4185
Edge_LC,LowT_60C,-10,10,-10,0.36,0.44,0.18,0.5655
Edge_LC,MidT_90C,-10,10,-10,0.36,0.44,0.18,0.4897
Mid_LC,HighT_130C,-10,10,-10,0.36,0.44,0.18,0.4185
Mid_LC,LowT_60C,-10,10,-10,0.36,0.44,0.18,0.5655
Mid_LC,MidT_90C,-10,10,-10,0.36,0.44,0.18,0.4897
Hyperscale_LC,HighT_130C,-10,10,-10,0.36,0.44,0.18,0.4187
Hyperscale_LC,LowT_60C,-10,10,-10,0.36,0.44,0.18,0.5657
Hyperscale_LC,MidT_90C,-10,10,-10,0.36,0.44,0.18,0.49
Edge_LC,HighT_130C,-10,10,0,0.36,0.44,0.2,0.407
Edge_LC,LowT_60C,-10,10,0,0.36,0.44,0.2,0.5605
Edge_LC,MidT_90C,-10,10,0,0.36,0.44,0.2,0.4812
Mid_LC,HighT_130C,-10,10,0,0.36,0.44,0.2,0.407
Mid_LC,LowT_60C,-10,10,0,0.36,0.44,0.2,0.5605
Mid_LC,MidT_90C,-10,10,0,0.36,0.44,0.2,0.4812
Hyperscale_LC,HighT_130C,-10,10,0,0.36,0.44,0.2,0.4072
Hyperscale_LC,LowT_60C,-10,10,0,0.36,0.44,0.2,0.5607
Hyperscale_LC,MidT_90C,-10,10,0,0.36,0.44,0.2,0.4816
Edge_LC,HighT_130C,-10,10,10,0.36,0.44,0.22,0.3954
Edge_LC,LowT_60C,-10,10,10,0.36,0.44,0.22,0.5555
Edge_LC,MidT_90C,-10,10,10,0.36,0.44,0.22,0.4727
Mid_LC,HighT_130C,-10,10,10,0.36,0.44,0.22,0.3954
Mid_LC,LowT_60C,-10,10,10,0.36,0.44,0.22,0.5555
Mid_LC,MidT_90C,-10,10,10,0.36,0.44,0.22,0.4727
Hyperscale_LC,HighT_130C,-10,10,10,0.36,0.44,0.22,0.3956
Hyperscale_LC,LowT_60C,-10,10,10,0.36,0.44,0.22,0.5557
Hyperscale_LC,MidT_90C,-10,10,10,0.36,0.44,0.22,0.4731
Edge_LC,HighT_130C,-10,10,20,0.36,0.44,0.24,0.3839
Edge_LC,LowT_60C,-10,10,20,0.36,0.44,0.24,0.5505
Edge_LC,MidT_90C,-10,10,20,0.36,0.44,0.24,0.4643
Mid_LC,HighT_130C,-10,10,20,0.36,0.44,0.24,0.3839
Mid_LC,LowT_60C,-10,10,20,0.36,0.44,0.24,0.5505
Mid_LC,MidT_90C,-10,10,20,0.36,0.44,0.24,0.4643
Hyperscale_LC,HighT_130C,-10,10,20,0.36,0.44,0.24,0.3841
Hyperscale_LC,LowT_60C,-10,10,20,0.36,0.44,0.24,0.5507
Hyperscale_LC,MidT_90C,-10,10,20,0.36,0.44,0.24,0.4646
Edge_LC,HighT_130C,-10,20,-20,0.36,0.48,0.16,0.4601
Edge_LC,LowT_60C,-10,20,-20,0.36,0.48,0.16,0.6006
Edge_LC,MidT_90C,-10,20,-20,0.36,0.48,0.16,0.5282
Mid_LC,HighT_130C,-10,20,-20,0.36,0.48,0.16,0.4601
Mid_LC,LowT_60C,-10,20,-20,0.36,0.48,0.16,0.6006
Mid_LC,MidT_90C,-10,20,-20,0.36,0.48,0.16,0.5282
Hyperscale_LC,HighT_130C,-10,20,-20,0.36,0.48,0.16,0.4606
Hyperscale_LC,LowT_60C,-10,20,-20,0.36,0.48,0.16,0.601
Hyperscale_LC,MidT_90C,-10,20,-20,0.36,0.48,0.16,0.5288
Edge_LC,HighT_130C,-10,20,-10,0.36,0.48,0.18,0.4486
Edge_LC,LowT_60C,-10,20,-10,0.36,0.48,0.18,0.5956
Edge_LC,MidT_90C,-10,20,-10,0.36,0.48,0.18,0.5198
Mid_LC,HighT_130C,-10,20,-10,0.36,0.48,0.18,0.4486
Mid_LC,LowT_60C,-10,20,-10,0.36,0.48,0.18,0.5956
Mid_LC,MidT_90C,-10,20,-10,0.36,0.48,0.18,0.5198
Hyperscale_LC,HighT_130C,-10,20,-10,0.36,0.48,0.18,0.449
Hyperscale_LC,LowT_60C,-10,20,-10,0.36,0.48,0.18,0.596
Hyperscale_LC,MidT_90C,-10,20,-10,0.36,0.48,0.18,0.5203
Edge_LC,HighT_130C,-10,20,0,0.36,0.48,0.2,0.4371
Edge_LC,LowT_60C,-10,20,0,0.36,0.48,0.2,0.5906
Edge_LC,MidT_90C,-10,20,0,0.36,0.48,0.2,0.5113
Mid_LC,HighT_130C,-10,20,0,0.36,0.48,0.2,0.4371
Mid_LC,LowT_60C,-10,20,0,0.36,0.48,0.2,0.5906
Mid_LC,MidT_90C,-10,20,0,0.36,0.48,0.2,0.5113
Hyperscale_LC,HighT_130C,-10,20,0,0.36,0.48,0.2,0.4375
Hyperscale_LC,LowT_60C,-10,20,0,0.36,0.48,0.2,0.591
Hyperscale_LC,MidT_90C,-10,20,0,0.36,0.48,0.2,0.5119
Edge_LC,HighT_130C,-10,20,10,0.36,0.48,0.22,0.4255
Edge_LC,LowT_60C,-10,20,10,0.36,0.48,0.22,0.5856
Edge_LC,MidT_90C,-10,20,10,0.36,0.48,0.22,0.5028
Mid_LC,HighT_130C,-10,20,10,0.36,0.48,0.22,0.4255
Mid_LC,LowT_60C,-10,20,10,0.36,0.48,0.22,0.5856
Mid_LC,MidT_90C,-10,20,10,0.36,0.48,0.22,0.5028
Hyperscale_LC,HighT_130C,-10,20,10,0.36,0.48,0.22,0.426
Hyperscale_LC,LowT_60C,-10,20,10,0.36,0.48,0.22,0.586
Hyperscale_LC,MidT_90C,-10,20,10,0.36,0.48,0.22,0.5034
Edge_LC,HighT_130C,-10,20,20,0.36,0.48,0.24,0.414
Edge_LC,LowT_60C,-10,20,20,0.36,0.48,0.24,0.5806
Edge_LC,MidT_90C,-10,20,20,0.36,0.48,0.24,0.4944
Mid_LC,HighT_130C,-10,20,20,0.36,0.48,0.24,0.414
Mid_LC,LowT_60C,-10,20,20,0.36,0.48,0.24,0.5806
Mid_LC,MidT_90C,-10,20,20,0.36,0.48,0.24,0.4944
Hyperscale_LC,HighT_130C,-10,20,20,0.36,0.48,0.24,0.4144
Hyperscale_LC,LowT_60C,-10,20,20,0.36,0.48,0.24,0.581
Hyperscale_LC,MidT_90C,-10,20,20,0.36,0.48,0.24,0.495
Edge_LC,HighT_130C,0,-20,-20,0.4,0.32,0.16,0.3609
Edge_LC,LowT_60C,0,-20,-20,0.4,0.32,0.16,0.5112
Edge_LC,MidT_90C,0,-20,-20,0.4,0.32,0.16,0.4338
Mid_LC,HighT_130C,0,-20,-20,0.4,0.32,0.16,0.3609
Mid_LC,LowT_60C,0,-20,-20,0.4,0.32,0.16,0.5112
Mid_LC,MidT_90C,0,-20,-20,0.4,0.32,0.16,0.4338
Hyperscale_LC,HighT_130C,0,-20,-20,0.4,0.32,0.16,0.3602
Hyperscale_LC,LowT_60C,0,-20,-20,0.4,0.32,0.16,0.5105
Hyperscale_LC,MidT_90C,0,-20,-20,0.4,0.32,0.16,0.4333
Edge_LC,HighT_130C,0,-20,-10,0.4,0.32,0.18,0.3494
Edge_LC,LowT_60C,0,-20,-10,0.4,0.32,0.18,0.5062
Edge_LC,MidT_90C,0,-20,-10,0.4,0.32,0.18,0.4254
Mid_LC,HighT_130C,0,-20,-10,0.4,0.32,0.18,0.3494
Mid_LC,LowT_60C,0,-20,-10,0.4,0.32,0.18,0.5062
Mid_LC,MidT_90C,0,-20,-10,0.4,0.32,0.18,0.4254
Hyperscale_LC,HighT_130C,0,-20,-10,0.4,0.32,0.18,0.3487
Hyperscale_LC,LowT_60C,0,-20,-10,0.4,0.32,0.18,0.5055
Hyperscale_LC,MidT_90C,0,-20,-10,0.4,0.32,0.18,0.4249
Edge_LC,HighT_130C,0,-20,0,0.4,0.32,0.2,0.3378
Edge_LC,LowT_60C,0,-20,0,0.4,0.32,0.2,0.5012
Edge_LC,MidT_90C,0,-20,0,0.4,0.32,0.2,0.4169
Mid_LC,HighT_130C,0,-20,0,0.4,0.32,0.2,0.3378
Mid_LC,LowT_60C,0,-20,0,0.4,0.32,0.2,0.5012
Mid_LC,MidT_90C,0,-20,0,0.4,0.32,0.2,0.4169
Hyperscale_LC,HighT_130C,0,-20,0,0.4,0.32,0.2,0.3372
Hyperscale_LC,LowT_60C,0,-20,0,0.4,0.32,0.2,0.5005
Hyperscale_LC,MidT_90C,0,-20,0,0.4,0.32,0.2,0.4164
Edge_LC,HighT_130C,0,-20,10,0.4,0.32,0.22,0.3263
Edge_LC,LowT_60C,0,-20,10,0.4,0.32,0.22,0.4962
Edge_LC,MidT_90C,0,-20,10,0.4,0.32,0.22,0.4084
Mid_LC,HighT_130C,0,-20,10,0.4,0.32,0.22,0.3263
Mid_LC,LowT_60C,0,-20,10,0.4,0.32,0.22,0.4962
Mid_LC,MidT_90C,0,-20,10,0.4,0.32,0.22,0.4084
Hyperscale_LC,HighT_130C,0,-20,10,0.4,0.32,0.22,0.3256
Hyperscale_LC,LowT_60C,0,-20,10,0.4,0.32,0.22,0.4955
Hyperscale_LC,MidT_90C,0,-20,10,0.4,0.32,0.22,0.4079
Edge_LC,HighT_130C,0,-20,20,0.4,0.32,0.24,0.3148
Edge_LC,LowT_60C,0,-20,20,0.4,0.32,0.24,0.4912
Edge_LC,MidT_90C,0,-20,20,0.4,0.32,0.24,0.4
Mid_LC,HighT_130C,0,-20,20,0.4,0.32,0.24,0.3148
Mid_LC,LowT_60C,0,-20,20,0.4,0.32,0.24,0.4912
Mid_LC,MidT_90C,0,-20,20,0.4,0.32,0.24,0.4
Hyperscale_LC,HighT_130C,0,-20,20,0.4,0.32,0.24,0.3141
Hyperscale_LC,LowT_60C,0,-20,20,0.4,0.32,0.24,0.4905
Hyperscale_LC,MidT_90C,0,-20,20,0.4,0.32,0.24,0.3995
Edge_LC,HighT_130C,0,-10,-20,0.4,0.36,0.16,0.391
Edge_LC,LowT_60C,0,-10,-20,0.4,0.36,0.16,0.5413
Edge_LC,MidT_90C,0,-10,-20,0.4,0.36,0.16,0.464
Mid_LC,HighT_130C,0,-10,-20,0.4,0.36,0.16,0.391
Mid_LC,LowT_60C,0,-10,-20,0.4,0.36,0.16,0.5413
Mid_LC,MidT_90C,0,-10,-20,0.4,0.36,0.16,0.464
Hyperscale_LC,HighT_130C,0,-10,-20,0.4,0.36,0.16,0.3906
Hyperscale_LC,LowT_60C,0,-10,-20,0.4,0.36,0.16,0.5408
Hyperscale_LC,MidT_90C,0,-10,-20,0.4,0.36,0.16,0.4637
Edge_LC,HighT_130C,0,-10,-10,0.4,0.36,0.18,0.3795
Edge_LC,LowT_60C,0,-10,-10,0.4,0.36,0.18,0.5363
Edge_LC,MidT_90C,0,-10,-10,0.4,0.36,0.18,0.4555
Mid_LC,HighT_130C,0,-10,-10,0.4,0.36,0.18,0.3795
Mid_LC,LowT_60C,0,-10,-10,0.4,0.36,0.18,0.5363
Mid_LC,MidT_90C,0,-10,-10,0.4,0.36,0.18,0.4555
Hyperscale_LC,HighT_130C,0,-10,-10,0.4,0.36,0.18,0.379
Hyperscale_LC,LowT_60C,0,-10,-10,0.4,0.36,0.18,0.5358
Hyperscale_LC,MidT_90C,0,-10,-10,0.4,0.36,0.18,0.4552
Edge_LC,HighT_130C,0,-10,0,0.4,0.36,0.2,0.3679
Edge_LC,LowT_60C,0,-10,0,0.4,0.36,0.2,0.5313
Edge_LC,MidT_90C,0,-10,0,0.4,0.36,0.2,0.447
Mid_LC,HighT_130C,0,-10,0,0.4,0.36,0.2,0.3679
Mid_LC,LowT_60C,0,-10,0,0.4,0.36,0.2,0.5313
Mid_LC,MidT_90C,0,-10,0,0.4,0.36,0.2,0.447
Hyperscale_LC,HighT_130C,0,-10,0,0.4,0.36,0.2,0.3675
Hyperscale_LC,LowT_60C,0,-10,0,0.4,0.36,0.2,0.5308
Hyperscale_LC,MidT_90C,0,-10,0,0.4,0.36,0.2,0.4467
Edge_LC,HighT_130C,0,-10,10,0.4,0.36,0.22,0.3564
Edge_LC,LowT_60C,0,-10,10,0.4,0.36,0.22,0.5263
Edge_LC,MidT_90C,0,-10,10,0.4,0.36,0.22,0.4386
Mid_LC,HighT_130C,0,-10,10,0.4,0.36,0.22,0.3564
Mid_LC,LowT_60C,0,-10,10,0.4,0.36,0.22,0.5263
Mid_LC,MidT_90C,0,-10,10,0.4,0.36,0.22,0.4386
Hyperscale_LC,HighT_130C,0,-10,10,0.4,0.36,0.22,0.356
Hyperscale_LC,LowT_60C,0,-10,10,0.4,0.36,0.22,0.5258
Hyperscale_LC,MidT_90C,0,-10,10,0.4,0.36,0.22,0.4383
Edge_LC,HighT_130C,0,-10,20,0.4,0.36,0.24,0.3449
Edge_LC,LowT_60C,0,-10,20,0.4,0.36,0.24,0.5213
Edge_LC,MidT_90C,0,-10,20,0.4,0.36,0.24,0.4301
Mid_LC,HighT_130C,0,-10,20,0.4,0.36,0.24,0.3449
Mid_LC,LowT_60C,0,-10,20,0.4,0.36,0.24,0.5213
Mid_LC,MidT_90C,0,-10,20,0.4,0.36,0.24,0.4301
Hyperscale_LC,HighT_130C,0,-10,20,0.4,0.36,0.24,0.3444
Hyperscale_LC,LowT_60C,0,-10,20,0.4,0.36,0.24,0.5208
Hyperscale_LC,MidT_90C,0,-10,20,0.4,0.36,0.24,0.4298
Edge_LC,HighT_130C,0,0,-20,0.4,0.4,0.16,0.4211
Edge_LC,LowT_60C,0,0,-20,0.4,0.4,0.16,0.5714
Edge_LC,MidT_90C,0,0,-20,0.4,0.4,0.16,0.4941
Mid_LC,HighT_130C,0,0,-20,0.4,0.4,0.16,0.4211
Mid_LC,LowT_60C,0,0,-20,0.4,0.4,0.16,0.5714
Mid_LC,MidT_90C,0,0,-20,0.4,0.4,0.16,0.4941
Hyperscale_LC,HighT_130C,0,0,-20,0.4,0.4,0.16,0.4209
Hyperscale_LC,LowT_60C,0,0,-20,0.4,0.4,0.16,0.5712
Hyperscale_LC,MidT_90C,0,0,-20,0.4,0.4,0.16,0.494
Edge_LC,HighT_130C,0,0,-10,0.4,0.4,0.18,0.4096
Edge_LC,LowT_60C,0,0,-10,0.4,0.4,0.18,0.5664
Edge_LC,MidT_90C,0,0,-10,0.4,0.4,0.18,0.4856
Mid_LC,HighT_130C,0,0,-10,0.4,0.4,0.18,0.4096
Mid_LC,LowT_60C,0,0,-10,0.4,0.4,0.18,0.5664
Mid_LC,MidT_90C,0,0,-10,0.4,0.4,0.18,0.4856
Hyperscale_LC,HighT_130C,0,0,-10,0.4,0.4,0.18,0.4094
Hyperscale_LC,LowT_60C,0,0,-10,0.4,0.4,0.18,0.5662
Hyperscale_LC,MidT_90C,0,0,-10,0.4,0.4,0.18,0.4855
Edge_LC,HighT_130C,0,0,0,0.4,0.4,0.2,0.3981
Edge_LC,LowT_60C,0,0,0,0.4,0.4,0.2,0.5614
Edge_LC,MidT_90C,0,0,0,0.4,0.4,0.2,0.4771
Mid_LC,HighT_130C,0,0,0,0.4,0.4,0.2,0.3981
Mid_LC,LowT_60C,0,0,0,0.4,0.4,0.2,0.5614
Mid_LC,MidT_90C,0,0,0,0.4,0.4,0.2,0.4771
Hyperscale_LC,HighT_130C,0,0,0,0.4,0.4,0.2,0.3978
Hyperscale_LC,LowT_60C,0,0,0,0.4,0.4,0.2,0.5612
Hyperscale_LC,MidT_90C,0,0,0,0.4,0.4,0.2,0.4771
Edge_LC,HighT_130C,0,0,10,0.4,0.4,0.22,0.3865
Edge_LC,LowT_60C,0,0,10,0.4,0.4,0.22,0.5564
Edge_LC,MidT_90C,0,0,10,0.4,0.4,0.22,0.4687
Mid_LC,HighT_130C,0,0,10,0.4,0.4,0.22,0.3865
Mid_LC,LowT_60C,0,0,10,0.4,0.4,0.22,0.5564
Mid_LC,MidT_90C,0,0,10,0.4,0.4,0.22,0.4687
Hyperscale_LC,HighT_130C,0,0,10,0.4,0.4,0.22,0.3863
Hyperscale_LC,LowT_60C,0,0,10,0.4,0.4,0.22,0.5562
Hyperscale_LC,MidT_90C,0,0,10,0.4,0.4,0.22,0.4686
Edge_LC,HighT_130C,0,0,20,0.4,0.4,0.24,0.375
Edge_LC,LowT_60C,0,0,20,0.4,0.4,0.24,0.5514
Edge_LC,MidT_90C,0,0,20,0.4,0.4,0.24,0.4602
Mid_LC,HighT_130C,0,0,20,0.4,0.4,0.24,0.375
Mid_LC,LowT_60C,0,0,20,0.4,0.4,0.24,0.5514
Mid_LC,MidT_90C,0,0,20,0.4,0.4,0.24,0.4602
Hyperscale_LC,HighT_130C,0,0,20,0.4,0.4,0.24,0.3748
Hyperscale_LC,LowT_60C,0,0,20,0.4,0.4,0.24,0.5512
Hyperscale_LC,MidT_90C,0,0,20,0.4,0.4,0.24,0.4601
Edge_LC,HighT_130C,0,10,-20,0.4,0.44,0.16,0.4512
Edge_LC,LowT_60C,0,10,-20,0.4,0.44,0.16,0.6015
Edge_LC,MidT_90C,0,10,-20,0.4,0.44,0.16,0.5242
Mid_LC,HighT_130C,0,10,-20,0.4,0.44,0.16,0.4512
Mid_LC,LowT_60C,0,10,-20,0.4,0.44,0.16,0.6015
Mid_LC,MidT_90C,0,10,-20,0.4,0.44,0.16,0.5242
Hyperscale_LC,HighT_130C,0,10,-20,0.4,0.44,0.16,0.4512
Hyperscale_LC,LowT_60C,0,10,-20,0.4,0.44,0.16,0.6015
Hyperscale_LC,MidT_90C,0,10,-20,0.4,0.44,0.16,0.5243
Edge_LC,HighT_130C,0,10,-10,0.4,0.44,0.18,0.4397
Edge_LC,LowT_60C,0,10,-10,0.4,0.44,0.18,0.5965
Edge_LC,MidT_90C,0,10,-10,0.4,0.44,0.18,0.5157
Mid_LC,HighT_130C,0,10,-10,0.4,0.44,0.18,0.4397
Mid_LC,LowT_60C,0,10,-10,0.4,0.44,0.18,0.5965
Mid_LC,MidT_90C,0,10,-10,0.4,0.44,0.18,0.5157
Hyperscale_LC,HighT_130C,0,10,-10,0.4,0.44,0.18,0.4397
Hyperscale_LC,LowT_60C,0,10,-10,0.4,0.44,0.18,0.5965
Hyperscale_LC,MidT_90C,0,10,-10,0.4,0.44,0.18,0.5159
Edge_LC,HighT_130C,0,10,0,0.4,0.44,0.2,0.4282
Edge_LC,LowT_60C,0,10,0,0.4,0.44,0.2,0.5915
Edge_LC,MidT_90C,0,10,0,0.4,0.44,0.2,0.5073
Mid_LC,HighT_130C,0,10,0,0.4,0.44,0.2,0.4282
Mid_LC,LowT_60C,0,10,0,0.4,0.44,0.2,0.5915
Mid_LC,MidT_90C,0,10,0,0.4,0.44,0.2,0.5073
Hyperscale_LC,HighT_130C,0,10,0,0.4,0.44,0.2,0.4282
Hyperscale_LC,LowT_60C,0,10,0,0.4,0.44,0.2,0.5915
Hyperscale_LC,MidT_90C,0,10,0,0.4,0.44,0.2,0.5074
Edge_LC,HighT_130C,0,10,10,0.4,0.44,0.22,0.4166
Edge_LC,LowT_60C,0,10,10,0.4,0.44,0.22,0.5865
Edge_LC,MidT_90C,0,10,10,0.4,0.44,0.22,0.4988
Mid_LC,HighT_130C,0,10,10,0.4,0.44,0.22,0.4166
Mid_LC,LowT_60C,0,10,10,0.4,0.44,0.22,0.5865
Mid_LC,MidT_90C,0,10,10,0.4,0.44,0.22,0.4988
Hyperscale_LC,HighT_130C,0,10,10,0.4,0.44,0.22,0.4166
Hyperscale_LC,LowT_60C,0,10,10,0.4,0.44,0.22,0.5865
Hyperscale_LC,MidT_90C,0,10,10,0.4,0.44,0.22,0.4989
Edge_LC,HighT_130C,0,10,20,0.4,0.44,0.24,0.4051
Edge_LC,LowT_60C,0,10,20,0.4,0.44,0.24,0.5815
Edge_LC,MidT_90C,0,10,20,0.4,0.44,0.24,0.4903
Mid_LC,HighT_130C,0,10,20,0.4,0.44,0.24,0.4051
Mid_LC,LowT_60C,0,10,20,0.4,0.44,0.24,0.5815
Mid_LC,MidT_90C,0,10,20,0.4,0.44,0.24,0.4903
Hyperscale_LC,HighT_130C,0,10,20,0.4,0.44,0.24,0.4051
Hyperscale_LC,LowT_60C,0,10,20,0.4,0.44,0.24,0.5815
Hyperscale_LC,MidT_90C,0,10,20,0.4,0.44,0.24,0.4905
Edge_LC,HighT_130C,0,20,-20,0.4,0.48,0.16,0.4814
Edge_LC,LowT_60C,0,20,-20,0.4,0.48,0.16,0.6316
Edge_LC,MidT_90C,0,20,-20,0.4,0.48,0.16,0.5543
Mid_LC,HighT_130C,0,20,-20,0.4,0.48,0.16,0.4814
Mid_LC,LowT_60C,0,20,-20,0.4,0.48,0.16,0.6316
Mid_LC,MidT_90C,0,20,-20,0.4,0.48,0.16,0.5543
Hyperscale_LC,HighT_130C,0,20,-20,0.4,0.48,0.16,0.4816
Hyperscale_LC,LowT_60C,0,20,-20,0.4,0.48,0.16,0.6318
Hyperscale_LC,MidT_90C,0,20,-20,0.4,0.48,0.16,0.5547
Edge_LC,HighT_130C,0,20,-10,0.4,0.48,0.18,0.4698
Edge_LC,LowT_60C,0,20,-10,0.4,0.48,0.18,0.6266
Edge_LC,MidT_90C,0,20,-10,0.4,0.48,0.18,0.5458
Mid_LC,HighT_130C,0,20,-10,0.4,0.48,0.18,0.4698
Mid_LC,LowT_60C,0,20,-10,0.4,0.48,0.18,0.6266
Mid_LC,MidT_90C,0,20,-10,0.4,0.48,0.18,0.5458
Hyperscale_LC,HighT_130C,0,20,-10,0.4,0.48,0.18,0.47
Hyperscale_LC,LowT_60C,0,20,-10,0.4,0.48,0.18,0.6268
Hyperscale_LC,MidT_90C,0,20,-10,0.4,0.48,0.18,0.5462
Edge_LC,HighT_130C,0,20,0,0.4,0.48,0.2,0.4583
Edge_LC,LowT_60C,0,20,0,0.4,0.48,0.2,0.6216
Edge_LC,MidT_90C,0,20,0,0.4,0.48,0.2,0.5374
Mid_LC,HighT_130C,0,20,0,0.4,0.48,0.2,0.4583
Mid_LC,LowT_60C,0,20,0,0.4,0.48,0.2,0.6216
Mid_LC,MidT_90C,0,20,0,0.4,0.48,0.2,0.5374
Hyperscale_LC,HighT_130C,0,20,0,0.4,0.48,0.2,0.4585
Hyperscale_LC,LowT_60C,0,20,0,0.4,0.48,0.2,0.6218
Hyperscale_LC,MidT_90C,0,20,0,0.4,0.48,0.2,0.5377
Edge_LC,HighT_130C,0,20,10,0.4,0.48,0.22,0.4468
Edge_LC,LowT_60C,0,20,10,0.4,0.48,0.22,0.6166
Edge_LC,MidT_90C,0,20,10,0.4,0.48,0.22,0.5289
Mid_LC,HighT_130C,0,20,10,0.4,0.48,0.22,0.4468
Mid_LC,LowT_60C,0,20,10,0.4,0.48,0.22,0.6166
Mid_LC,MidT_90C,0,20,10,0.4,0.48,0.22,0.5289
Hyperscale_LC,HighT_130C,0,20,10,0.4,0.48,0.22,0.4469
Hyperscale_LC,LowT_60C,0,20,10,0.4,0.48,0.22,0.6168
Hyperscale_LC,MidT_90C,0,20,10,0.4,0.48,0.22,0.5293
Edge_LC,HighT_130C,0,20,20,0.4,0.48,0.24,0.4352
Edge_LC,LowT_60C,0,20,20,0.4,0.48,0.24,0.6116
Edge_LC,MidT_90C,0,20,20,0.4,0.48,0.24,0.5204
Mid_LC,HighT_130C,0,20,20,0.4,0.48,0.24,0.4352
Mid_LC,LowT_60C,0,20,20,0.4,0.48,0.24,0.6116
Mid_LC,MidT_90C,0,20,20,0.4,0.48,0.24,0.5204
Hyperscale_LC,HighT_130C,0,20,20,0.4,0.48,0.24,0.4354
Hyperscale_LC,LowT_60C,0,20,20,0.4,0.48,0.24,0.6118
Hyperscale_LC,MidT_90C,0,20,20,0.4,0.48,0.24,0.5208
Edge_LC,HighT_130C,10,-20,-20,0.44,0.32,0.16,0.3821
Edge_LC,LowT_60C,10,-20,-20,0.44,0.32,0.16,0.5422
Edge_LC,MidT_90C,10,-20,-20,0.44,0.32,0.16,0.4599
Mid_LC,HighT_130C,10,-20,-20,0.44,0.32,0.16,0.3821
Mid_LC,LowT_60C,10,-20,-20,0.44,0.32,0.16,0.5422
Mid_LC,MidT_90C,10,-20,-20,0.44,0.32,0.16,0.4599
Hyperscale_LC,HighT_130C,10,-20,-20,0.44,0.32,0.16,0.3812
Hyperscale_LC,LowT_60C,10,-20,-20,0.44,0.32,0.16,0.5413
Hyperscale_LC,MidT_90C,10,-20,-20,0.44,0.32,0.16,0.4592
Edge_LC,HighT_130C,10,-20,-10,0.44,0.32,0.18,0.3706
Edge_LC,LowT_60C,10,-20,-10,0.44,0.32,0.18,0.5372
Edge_LC,MidT_90C,10,-20,-10,0.44,0.32,0.18,0.4514
Mid_LC,HighT_130C,10,-20,-10,0.44,0.32,0.18,0.3706
Mid_LC,LowT_60C,10,-20,-10,0.44,0.32,0.18,0.5372
Mid_LC,MidT_90C,10,-20,-10,0.44,0.32,0.18,0.4514
Hyperscale_LC,HighT_130C,10,-20,-10,0.44,0.32,0.18,0.3697
Hyperscale_LC,LowT_60C,10,-20,-10,0.44,0.32,0.18,0.5363
Hyperscale_LC,MidT_90C,10,-20,-10,0.44,0.32,0.18,0.4507
Edge_LC,HighT_130C,10,-20,0,0.44,0.32,0.2,0.3591
Edge_LC,LowT_60C,10,-20,0,0.44,0.32,0.2,0.5322
Edge_LC,MidT_90C,10,-20,0,0.44,0.32,0.2,0.443
Mid_LC,HighT_130C,10,-20,0,0.44,0.32,0.2,0.3591
Mid_LC,LowT_60C,10,-20,0,0.44,0.32,0.2,0.5322
Mid_LC,MidT_90C,10,-20,0,0.44,0.32,0.2,0.443
Hyperscale_LC,HighT_130C,10,-20,0,0.44,0.32,0.2,0.3581
Hyperscale_LC,LowT_60C,10,-20,0,0.44,0.32,0.2,0.5313
Hyperscale_LC,MidT_90C,10,-20,0,0.44,0.32,0.2,0.4422
