beta,gamma,delta,dc_name,process_name,is_match_score,tier
0.4,0.3,0.3,Hyperscale_LC,HighT_130C,0.2293,not_viable
0.4,0.3,0.3,Hyperscale_LC,LowT_60C,0.4289,marginal
0.4,0.3,0.3,Hyperscale_LC,MidT_90C,0.3383,marginal
0.4,0.4,0.2,Edge_LC,HighT_130C,0.3628,marginal
0.4,0.4,0.2,Edge_LC,LowT_60C,0.5298,marginal
0.4,0.4,0.2,Edge_LC,MidT_90C,0.4561,marginal
0.4,0.4,0.2,Mid_LC,HighT_130C,0.3628,marginal
0.4,0.4,0.2,Mid_LC,LowT_60C,0.5298,marginal
0.4,0.4,0.2,Mid_LC,MidT_90C,0.4561,marginal
0.4,0.4,0.2,Hyperscale_LC,HighT_130C,0.3625,marginal
0.4,0.4,0.2,Hyperscale_LC,LowT_60C,0.5297,marginal
0.4,0.4,0.2,Hyperscale_LC,MidT_90C,0.4558,marginal
0.4,0.5,0.1,Edge_LC,HighT_130C,0.4954,marginal
0.4,0.5,0.1,Edge_LC,LowT_60C,0.6301,high_priority
0.4,0.5,0.1,Edge_LC,MidT_90C,0.5731,marginal
0.4,0.5,0.1,Mid_LC,HighT_130C,0.4954,marginal
0.4,0.5,0.1,Mid_LC,LowT_60C,0.6301,high_priority
0.4,0.5,0.1,Mid_LC,MidT_90C,0.5731,marginal
0.4,0.5,0.1,Hyperscale_LC,HighT_130C,0.4956,marginal
0.4,0.5,0.1,Hyperscale_LC,LowT_60C,0.6306,high_priority
0.4,0.5,0.1,Hyperscale_LC,MidT_90C,0.5733,marginal
0.5,0.2,0.3,Edge_LC,HighT_130C,0.1989,not_viable
0.5,0.2,0.3,Edge_LC,LowT_60C,0.4239,marginal
0.5,0.2,0.3,Edge_LC,MidT_90C,0.3234,marginal
0.5,0.2,0.3,Mid_LC,HighT_130C,0.1989,not_viable
0.5,0.2,0.3,Mid_LC,LowT_60C,0.4239,marginal
0.5,0.2,0.3,Mid_LC,MidT_90C,0.3234,marginal
0.5,0.2,0.3,Hyperscale_LC,HighT_130C,0.1969,not_viable
0.5,0.2,0.3,Hyperscale_LC,LowT_60C,0.4222,marginal
0.5,0.2,0.3,Hyperscale_LC,MidT_90C,0.3214,marginal
0.5,0.3,0.2,Edge_LC,HighT_130C,0.3315,marginal
0.5,0.3,0.2,Edge_LC,LowT_60C,0.5242,marginal
0.5,0.3,0.2,Edge_LC,MidT_90C,0.4404,marginal
