step,scenario,T_CabRet_C,T_CabSup_C,T_supply_C,Q_available_kW,Q_EHX1_kW,T_EHX_HotSup_C,T_EHX_HotRet_C,m_flow_kgs,m_flow_HWL_kgs,t_sim_h
51,LC_Frontier_5Cabinet,30.993,27.267,30.993,1542.44,385.61,23.15,25.146,6.1753,112.1727,3.546
52,LC_Frontier_5Cabinet,30.863,27.132,30.863,1541.76,385.44,23.148,25.143,6.3078,112.2528,3.55
53,LC_Frontier_5Cabinet,30.726,27.009,30.726,1540.57,385.14,23.146,25.14,6.4031,112.2747,3.554
54,LC_Frontier_5Cabinet,30.563,26.898,30.563,1539.02,384.76,23.144,25.137,6.4679,112.2559,3.558
55,LC_Frontier_5Cabinet,30.374,26.786,30.374,1537.21,384.3,23.142,25.135,6.5073,112.2051,3.562
56,LC_Frontier_5Cabinet,30.194,26.685,30.194,1535.19,383.8,23.14,25.132,6.5254,112.1286,3.567
57,LC_Frontier_5Cabinet,30.033,26.603,30.033,1533.0,383.25,23.138,25.129,6.5255,112.0305,3.571
58,LC_Frontier_5Cabinet,29.86,26.532,29.86,1530.67,382.67,23.136,25.127,6.5103,111.9142,3.575
59,LC_Frontier_5Cabinet,29.669,26.454,29.669,1528.22,382.05,23.134,25.124,6.482,111.7829,3.579
60,LC_Frontier_5Cabinet,29.498,26.384,29.498,1525.75,381.44,23.132,25.122,6.4422,111.6487,3.583
61,LC_Frontier_5Cabinet,29.356,26.332,29.356,1523.47,380.87,23.131,25.12,6.3922,111.5333,3.587
62,LC_Frontier_5Cabinet,29.199,26.289,29.199,1521.44,380.36,23.129,25.117,6.3332,111.4443,3.592
63,LC_Frontier_5Cabinet,29.02,26.229,29.02,1519.57,379.89,23.127,25.115,6.2665,111.3703,3.596
64,LC_Frontier_5Cabinet,28.863,26.175,28.863,1517.77,379.44,23.125,25.113,6.1932,111.3006,3.6
65,LC_Frontier_5Cabinet,28.737,26.13,28.737,1516.09,379.02,23.123,25.111,6.1143,111.2442,3.604
66,LC_Frontier_5Cabinet,28.638,26.1,28.638,1514.68,378.67,23.121,25.11,6.031,111.2155,3.608
67,LC_Frontier_5Cabinet,28.568,26.084,28.568,1513.64,378.41,23.119,25.108,5.9443,111.2264,3.612
68,LC_Frontier_5Cabinet,28.522,26.083,28.522,1513.02,378.26,23.117,25.106,5.8548,111.284,3.617
69,LC_Frontier_5Cabinet,28.488,26.09,28.488,1512.8,378.2,23.115,25.104,5.7632,111.3833,3.621
70,LC_Frontier_5Cabinet,28.462,26.102,28.462,1512.76,378.19,23.113,25.102,5.6697,111.4997,3.625
71,LC_Frontier_5Cabinet,28.468,26.124,28.468,1512.62,378.16,23.111,25.1,5.5745,111.6046,3.629
72,LC_Frontier_5Cabinet,28.508,26.169,28.508,1512.18,378.04,23.11,25.098,5.4775,111.6724,3.633
73,LC_Frontier_5Cabinet,28.554,26.223,28.554,1511.18,377.79,23.108,25.095,5.3783,111.6756,3.638
74,LC_Frontier_5Cabinet,28.6,26.279,28.6,1509.41,377.35,23.106,25.093,5.2769,111.5918,3.642
75,LC_Frontier_5Cabinet,28.701,26.349,28.701,1506.98,376.74,23.104,25.09,5.1735,111.4315,3.646
76,LC_Frontier_5Cabinet,28.866,26.467,28.866,1504.03,376.01,23.102,25.087,5.0689,111.2124,3.65
77,LC_Frontier_5Cabinet,29.029,26.595,29.029,1500.68,375.17,23.1,25.084,4.9635,110.9485,3.654
78,LC_Frontier_5Cabinet,29.173,26.725,29.173,1497.03,374.26,23.098,25.08,4.8578,110.6513,3.658
79,LC_Frontier_5Cabinet,29.295,26.847,29.295,1493.18,373.3,23.096,25.077,4.7522,110.3301,3.663
80,LC_Frontier_5Cabinet,29.403,26.958,29.403,1489.19,372.3,23.094,25.073,4.647,109.9933,3.667
81,LC_Frontier_5Cabinet,29.509,27.069,29.509,1485.12,371.28,23.092,25.069,4.5424,109.6484,3.671
82,LC_Frontier_5Cabinet,29.616,27.181,29.616,1481.16,370.29,23.09,25.065,4.4387,109.3173,3.675
83,LC_Frontier_5Cabinet,29.724,27.295,29.724,1477.51,369.38,23.088,25.061,4.3358,109.0202,3.679
84,LC_Frontier_5Cabinet,29.834,27.411,29.834,1474.3,368.57,23.086,25.057,4.2339,108.7709,3.683
85,LC_Frontier_5Cabinet,29.945,27.529,29.945,1471.6,367.9,23.084,25.053,4.1332,108.5784,3.688
86,LC_Frontier_5Cabinet,30.055,27.648,30.055,1469.54,367.38,23.082,25.049,4.0338,108.4543,3.692
87,LC_Frontier_5Cabinet,30.155,27.765,30.155,1468.13,367.03,23.08,25.045,3.9362,108.4012,3.696
88,LC_Frontier_5Cabinet,30.249,27.874,30.249,1467.35,366.84,23.078,25.041,3.8424,108.4152,3.7
89,LC_Frontier_5Cabinet,30.346,27.983,30.346,1467.05,366.76,23.076,25.037,3.753,108.4798,3.704
90,LC_Frontier_5Cabinet,30.448,28.094,30.448,1467.08,366.77,23.074,25.033,3.6688,108.5802,3.708
91,LC_Frontier_5Cabinet,30.554,28.206,30.554,1467.33,366.83,23.072,25.03,3.5907,108.7034,3.712
92,LC_Frontier_5Cabinet,30.663,28.318,30.663,1467.68,366.92,23.07,25.026,3.5202,108.8363,3.717
93,LC_Frontier_5Cabinet,30.772,28.418,30.772,1468.07,367.02,23.068,25.023,3.4805,108.975,3.721
94,LC_Frontier_5Cabinet,30.887,28.489,30.887,1468.64,367.16,23.066,25.021,3.4987,109.1341,3.725
